Date,ContractCode,Item,TradingVolume(Long),TradingValue(Long)(Thousands),TradingVolume(Short),TradingValue(Short)(Thousands),TradingVolume(Net),TradingValue(Net)(Thousands),OpenInterest(Long),ContractValueofOpenInterest(Long)(Thousands),OpenInterest(Short),ContractValueofOpenInterest(Short)(Thousands),OpenInterest(Net),ContractValueofOpenInterest(Net)(Thousands),download_timestamp,process_timestamp
20260709,美國道瓊期貨,自營商,0,0,0,0,0,0,0,0,15,15804,-15,-15804,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,美國那斯達克100期貨,外資及陸資,490,720477,367,539555,123,180922,94,139170,336,497238,-242,-358068,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,美國那斯達克100期貨,投信,0,0,0,0,0,0,2,2957,0,0,2,2957,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,美國那斯達克100期貨,自營商,0,0,0,0,0,0,0,0,210,310517,-210,-310517,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,股票期貨,外資及陸資,469945,282299230,478215,288450423,-8270,-6151193,193966,149412714,709444,426318839,-515478,-276906125,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,股票期貨,投信,0,0,0,0,0,0,9953,4646510,245,49515,9708,4596995,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,股票期貨,自營商,71856,31477695,77210,31922929,-5354,-445234,95181,33108043,400913,226755055,-305732,-193647012,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,臺灣永續期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,臺灣永續期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,臺灣永續期貨,自營商,122,309421,122,309421,0,0,88,222098,88,222098,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,臺灣生技期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,臺灣生技期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,臺灣生技期貨,自營商,7,1519,1,221,6,1298,0,0,5,1104,-5,-1104,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,臺股期貨,外資及陸資,87694,798802069,87226,794995895,468,3806174,6562,60008754,87292,797925628,-80730,-737916874,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,臺股期貨,投信,7421,68185516,5719,52315804,1702,15869712,77706,710124202,6017,55009742,71689,655114460,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,臺股期貨,自營商,7489,68392046,8439,77152690,-950,-8760643,7455,68296266,5212,47769736,2243,20526530,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,航運期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,航運期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,航運期貨,自營商,0,0,0,0,0,0,6,1109,7,1293,-1,-184,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,英國富時100期貨,外資及陸資,95,50229,132,69546,-37,-19318,32,16838,0,0,32,16838,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,英國富時100期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,英國富時100期貨,自營商,171,90112,7,3688,164,86424,131,68932,7,3712,124,65220,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,金融期貨,外資及陸資,270,848537,300,943314,-30,-94777,127,398551,283,888111,-156,-489560,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,金融期貨,投信,5,15702,0,0,5,15702,29,90973,0,0,29,90973,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,金融期貨,自營商,59,185765,54,169488,5,16277,63,197671,83,260189,-20,-62518,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,電子期貨,外資及陸資,147,1715267,152,1767845,-5,-52578,17,199165,297,3479533,-280,-3280368,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,電子期貨,投信,11,128975,0,0,11,128975,241,2823546,0,0,241,2823546,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,電子期貨,自營商,82,954196,79,924093,3,30103,17,199251,146,1710995,-129,-1511744,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,非金電期貨,外資及陸資,40,6306,44,6920,-4,-614,198,31038,11,1724,187,29314,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,非金電期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-12 09:37:53,2026-07-12 09:37:53
20260709,非金電期貨,自營商,123,19316,99,15555,24,3760,676,105970,640,100326,36,5644,2026-07-12 09:37:53,2026-07-12 09:37:53
20260713,ETF期貨,外資及陸資,9805,7456267,10051,7467030,-246,-10764,16823,14664523,4723,3257294,12100,11407229,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,ETF期貨,投信,1450,1485971,1450,1477967,0,8004,4568,3914569,50,20225,4518,3894344,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,ETF期貨,自營商,15129,7168696,13935,7086170,1194,82526,14295,5336639,42256,24356409,-27961,-19019770,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,半導體30期貨,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
20260713,半導體30期貨,投信,0,0,0,0,0,0,0,0,0,0,0,0,2026-07-14 13:05:05 CST,2026-07-14 13:05:05 CST
